,name,image,description,prep_time,cook_time,total_time,servings_number,servings_unit,course,cuisine,diet,ingredients,instructions,nutrition
0,Boondi Raita Recipe (Classic),https://www.vegrecipesofindia.com/wp-content/uploads/2013/04/boondi-raita-recipe-1-280x280.jpg,"This spiced Boondi raita is a flavorful North Indian raita variety made with curd (yogurt), boondi (crisp fried gram flour balls), herbs, seasonings and spices.",20minutes,,20minutes,2,,Side Dish,Indian,Vegetarian,▢ ½ cup boondi – plain or salted▢ 1 cup Curd (yogurt) – dairy or plant based▢ ¼ to ½ teaspoon Chaat Masala▢ ½ teaspoon saunf powder (fennel powder) – optional▢ ½ teaspoon Roasted Cumin Powder▢ ¼ teaspoon Red Chili Powder or cayenne pepper▢ ¼ teaspoon black pepper powder – optional▢ 1 to 2 tablespoon chopped coriander leaves (cilantro) or 1 tablespoon chopped mint leaves▢ a few coriander leaves or mint leaves for garnish▢ black salt or edible rock salt or regular salt as required,"PreparationFirst warm water in a pan on stovetop or electric heater or in the microwave. Take the warm water in a bowl. Add the boondi in the warm water. Cover the bowl with a lid. Let them get soaked for 9 to 12 minutes. Drain all the water and lightly press the boondi in your palms, to squeeze the water from them. Don't mash them up.Making boondi raitaWhisk the curd in a bowl.Add the boondi and mix gently.Add all the dry spice powders, chopped mint leaves or coriander leaves, including salt as required. Mix and stir the raita well.Check the taste and add more salt or ground spice powders if needed. Garnish the raita with mint leaves or coriander leaves.The boondi raita can be served cold or at room temperature. They go well with biryani or pulao or any rice based dishes like cumin rice.You can also serve boondi raita with stuffed paratha variants like gobi paratha, aloo paratha, paneer paratha or mooli paratha.Refrigerate the raita if not serving immediatedly. I would recommend to eat the raita in the same day or at the most you can store for 1 day in the fridge.If in case after refrigeration the raita has become thick then add a few teaspoons of water to thin the consistency slightly.",NutritionCalories: 139kcal | Carbohydrates: 15g | Protein: 8g | Fat: 5g | Saturated Fat: 3g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Cholesterol: 16mg | Sodium: 653mg | Potassium: 345mg | Fiber: 2g | Sugar: 7g | Vitamin A: 237IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 1mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 4µg | Calcium: 168mg | Vitamin B9 (Folate): 75µg | Iron: 1mg | Magnesium: 44mg | Phosphorus: 170mg | Zinc: 1mg
1,Pineapple Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2012/02/pineapple-raita-recipe-1-280x280.jpg,"This Pineapple Raita recipe is sweet, sour, salty, refreshing and made with curd (yogurt), pineapple, herbs, spices and pomegranate. A delightful addition to any plate!",15minutes,0minutes,15minutes,2,,Side Dish,Indian,"Gluten Free, Vegetarian","▢ 1 cup Curd (yogurt) or any plant-based yogurt▢ ½ cup chopped pineapple – chopped in small cubes▢ ¼ cup pomegranate arils – optional▢ ½ teaspoon Red Chili Powder or cayenne pepper or paprika▢ 1 teaspoon Roasted Cumin Powder▢ 1 to 2 tablespoons sugar or add as per taste▢ salt or edible, food grade rock salt ot black salt as required▢ 1 to 2 tablespoons chopped coriander leaves (cilantro) – for garnish","With a wired whisk, whip the curd till its smooth.Add the spice powders, sugar and salt to the curd. Mix well.Add the chopped pineapple cubes and half of the pomegranate arils.Reserve the other half for garnishing.While serving garnish pineapple raita with the remaining pomegranate arils and chopped coriander leaves.Serve pineapple raita immediately with any North Indian main course.",NutritionCalories: 283kcal | Carbohydrates: 43g | Protein: 10g | Fat: 9g | Saturated Fat: 5g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 3g | Cholesterol: 32mg | Sodium: 2461mg | Potassium: 629mg | Fiber: 3g | Sugar: 37g | Vitamin A: 653IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 45mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 11µg | Calcium: 336mg | Vitamin B9 (Folate): 48µg | Iron: 2mg | Magnesium: 53mg | Phosphorus: 268mg | Zinc: 2mg
2,Onion Raita | Tomato Raita | Onion Tomato Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2018/10/onion-raita-recipe-1-280x280.jpg,"Simple and quick recipes for Onion Raita, Tomato Raita and Onion Tomato raita to serve with biryani, pulao, khichdi or any Indian meal.",10minutes,0minutes,10minutes,3,,Side Dish,North Indian,"Gluten Free, Vegetarian","For Onion Raita▢ 1 cup Curd (yogurt) – cold or chilled▢ ⅓ cup finely chopped onions – about 1 small to medium-sized onion▢ ½ teaspoon Roasted Cumin Powder▢ ¼ teaspoon black pepper powder or red chilli powder or cayenne pepper▢ black salt or regular salt or edible food grade rock salt, add as required – I added ⅓ teaspoon black salt▢ 5 to 6 chopped mint leaves or 1 tablespoon of chopped coriander leaves (cilantro)▢ 3 to 4 mint sprigs or some coriander leaves, for garnish","Making Onion RaitaWhisk the curd (yogurt) till smooth.Then, add the finely chopped onion and mix again.Sprinkle cumin powder, black pepper powder and salt as required. Stir and mix well.Add chopped coriander leaves (or 5-6 mint leaves).Mix well.While serving, garnish with few mint or coriander leaves.Serve the Onion Raita with your Indian meals.Making Tomato RaitaIn a bowl, whisk the fresh chilled curd or yogurt until smooth.Add the finely chopped tomatoes, mint leaves or coriander leaves or a mix of both, chopped green chilies, roasted cumin powder. Season with black salt or regular salt according to your taste.Mix everything evenly.Serve the tomato raita immediately as a side dish with veg biryani or veg pulao. You can also serve this raita with any North Indian meal.Making Onion Tomato RaitaRinse the peeled onion, tomatoes, mint leaves and green chili.Finely chop them.Whisk the yogurt or curd in a bowl.Add the finely chopped onions, tomatoes, mint leaves and green chilies to the whisked curd.Add roasted cumin powder, red chili powder and salt. Mix very well.Garnish with few mint or coriander leaves. Serve the Onion Tomato Raita with biryani, pulao or dal-rice.",NutritionCalories: 60kcal | Carbohydrates: 6g | Protein: 3g | Fat: 3g | Saturated Fat: 2g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Cholesterol: 11mg | Sodium: 295mg | Potassium: 176mg | Fiber: 1g | Sugar: 5g | Vitamin A: 200IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 3mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 1µg | Calcium: 113mg | Vitamin B9 (Folate): 12µg | Iron: 1mg | Magnesium: 15mg | Phosphorus: 87mg | Zinc: 1mg
3,Beetroot Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2010/06/beetroot-carrot-raita-recipe-12a-280x280.jpg,"Beetroot Raita is a colorful, vibrant raita or yogurt dip made with healthy beets, onions, bell pepper, carrots, spices and curd (yogurt). It pairs nicely with most Indian meals.",20minutes,0minutes,20minutes,3,,Side Dish,Indian,"Gluten Free, Vegetarian","▢ 2 cups Curd (yogurt)▢ 1 beetroot medium-sized, grated▢ 1 carrot small to medium-sized, grated – optional▢ 1 onion medium-sized, finely chopped – optional▢ 1 capsicum small-sized, finely chopped (green bell pepper) – optional▢ 1 teaspoon Roasted Cumin Powder▢ salt as required","First prep your vegetables. Rinse them very well in water. Peel and set aside. Grate the beetroot and carrot. Finely chop the onion and capsicum. Take the curd in a bowl and whisk it until smooth.Add all the chopped veggies together with the roasted cumin powder and salt according to taste.Mix to combine evenly.Garnish with chopped cilantro or coriander leaves.Serve the beetroot raita with pulao, biryani or with dal and rice or with any Indian meal of your choice.It is best to enjoy this raita as soon as you make it. If there are any leftovers, then refrigerate in a covered container for a couple of hours only. ",NutritionCalories: 149kcal | Carbohydrates: 18g | Protein: 7g | Fat: 6g | Saturated Fat: 3g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 2g | Cholesterol: 21mg | Sodium: 890mg | Potassium: 556mg | Fiber: 3g | Sugar: 14g | Vitamin A: 4819IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 57mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 5µg | Calcium: 227mg | Vitamin B9 (Folate): 70µg | Iron: 1mg | Magnesium: 39mg | Phosphorus: 197mg | Zinc: 1mg
4,Burani Raita | Hyderabadi Burhani Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2014/04/boorani-raita-recipe-1-280x280.jpg,"Burani raita is a creamy, mild raita from the Hyderabadi cuisine. It is flavored with garlic, roasted cumin powder and red chili powder. Easy and quick raita recipe that is made under 5 minutes.",5minutes,0minutes,5minutes,2,,Side Dish,Hyderabadi,"Gluten Free, Vegetarian","▢ 1 cup Curd (yogurt), cold or at room temperature▢ 1 or 2 garlic cloves (small to medium-sized), peeled and crushed finely or minced▢ ¼ teaspoon Red Chili Powder or yellow chili powder▢ ¼ teaspoon Roasted Cumin Powder▢ salt as required","With a wired whisk whip the curd (yogurt) until smooth.Crush the peeled garlic or mince them and add to the yogurt.Add the red chili powder, roasted cumin powder and salt. Mix well.While serving, you can sprinkle a bit of roasted cumin powder and red chili powder.Serve Burani Raita chilled or immediately with biryani, pulao or any Indian meal. While serving you can garnish the raita with mint or coriander leaves.Consume on the same day or at the most, you can store it for one day in the fridge, if you have any leftovers. ",NutritionCalories: 83kcal | Carbohydrates: 7g | Protein: 5g | Fat: 4g | Saturated Fat: 3g | Cholesterol: 16mg | Sodium: 62mg | Potassium: 208mg | Sugar: 6g | Vitamin A: 195IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 2mg | Vitamin D: 1µg | Vitamin E: 1mg | Calcium: 156mg | Vitamin B9 (Folate): 9µg | Iron: 1mg | Magnesium: 15mg | Phosphorus: 123mg | Zinc: 1mg
5,Cucumber Raita Recipe (Indian Raita),https://www.vegrecipesofindia.com/wp-content/uploads/2011/09/cucumber-raita-recipe-1-280x280.jpg,"Cucumber Raita is a popular Indian raita dip made with fresh & tender cucumber, yogurt, ground spices and herbs. It is simple, refreshing and cooling to the palate. This simple and comforting raita comes together in 5 minutes and tastes great when paired with any Indian meal or a biryani or pulao.",5minutes,0minutes,5minutes,2,,Side Dish,North Indian,"Gluten Free, Vegetarian","▢ 1 cup cucumber – finely chopped▢ 1 cup yogurt (curd)▢ ½ teaspoon Kashmiri Chilli Powder or sweet paprika or ¼ teaspoon red chilli powder or cayenne pepper, optional▢ 1 teaspoon roasted ground cumin (roasted cumin powder)▢ ½ teaspoon Chaat Masala Powder or add as required▢ salt  as required, can add food grade rock salt or black salt ▢ 1 tablespoon coriander leaves – chopped or 1 tablespoon chopped mint leaves","Rinse the cucumber. Then peel and finely chop it. You can also grate cucumber.In a bowl, whisk the yogurt until smooth.Add the finely chopped cucumber to the yogurt.Add the kashmiri red chilli powder, salt as needed and chopped coriander leaves.Combine well and serve.You can garnish it with some coriander leaves or mint leaves while serving.Serving suggestionsWith Indian meals: Cucumber raita can be served as a side dish with some vegetable curry, lentils, with a side of roti or naan. With paratha: You can serve it with stuffed parathas as well. Aloo paratha, gobi paratha, broccoli paratha, mooli paratha or any stuffed paratha tastes pairs nicely.Rice: Serving it with biryani and pulao makes it so tastier. It also tastes great with khichdi, dal and steamed rice. With Veggies: And yes, you can also serve cucumber raita as a dip with fresh, roasted or baked veggies.StorageLeftovers can be stored only for a day in a refrigerator. It is best had fresh and the taste changes when you refrigerate it. So only make amounts of it that you can finish in one day. ",NutritionCalories: 90kcal | Carbohydrates: 8g | Protein: 5g | Fat: 4g | Saturated Fat: 3g | Trans Fat: 1g | Cholesterol: 16mg | Sodium: 87mg | Potassium: 298mg | Fiber: 1g | Sugar: 7g | Vitamin A: 317IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 3mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 6µg | Calcium: 167mg | Vitamin B9 (Folate): 18µg | Iron: 10mg | Magnesium: 26mg | Phosphorus: 130mg | Zinc: 1mg
6,Makhana Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2015/05/phool-makhana-raita-recipe-1-280x280.jpg,"Makhana raita is a healthy raita made with phool makhana, yogurt, spices and coriander leaves.",10minutes,5minutes,15minutes,3,to 4,Side Dish,North Indian,Vegetarian,▢ 1 cup fresh chilled yogurt (curd)▢ ⅔ cup makhana (phool makhana or fox nut or eurayle ferox)▢ ¼ teaspoon Red Chili Powder▢ ½ teaspoon Roasted Cumin Powder▢ 1 pinch Garam Masala▢ 2 tablespoon chopped coriander leaves▢ black salt or rock salt or regular salt as required,"preparationHeat a small frying pan or kadai/wok and add 2/3 cup phool makhana in it.On a low flame dry roast the phool makhana till they become crunchy and crisp. Stir at intervals while roasting. Take them in a plate and allow to cool.Then coarsely crush them with a rolling pin in a zip lock bag or in a mixer or dry grinder.making makhana raitaWhisk 1 cup fresh chilled curd (yogurt) in a bowl.Spice the curd with 1/4 tsp red chili powder, 1/2 tsp roasted cumin powder & a pinch of garam masala powder. Season also with black salt. Stir very well.Then add the coarsely crushed phool makhana in the spiced curd.Add 2 tbsp chopped coriander leaves.Stir and serve phool makhana raita immediately. If you chill the raita further, it thickens slightly. So you can add some water to thin the raita.",
7,Aloo Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2015/03/aloo-raita-recipe-1-280x280.jpg,"Simple and easy aloo raita made with boiled potatoes, yogurt, herbs and spices. This potato raita goes very well with pulao and biryani dishes and also other rice based dishes.",5minutes,15minutes,20minutes,3,,Side Dish,North Indian,"Gluten Free, Vegetarian",▢ 1 cup Curd (yogurt) or 250 grams curd▢ 2 medium or 1 large potato or ⅔ to ¾ cup chopped boiled potatoes or 125 to 150 grams potato▢ ½ teaspoon Roasted Cumin Powder▢ ¼ teaspoon Red Chili Powder or as required▢ ¼ to ½ teaspoon Chaat Masala add as required▢ 1 tablespoon chopped coriander leaves (cilantro)▢ ½ tablespoon chopped mint leaves or 4 to 5 mint leaves – chopped▢ salt as required,"Firstly boil 2 medium or 1 large potato in pressure cooker or steamer or electric cooker adding water as required. Later drain all the water and let the potatoes become warm. Then peel and chop the potatoes.In a bowl, whisk 1 cup fresh curd till smooth and keep aside.Add the chopped potatoes.Then add the dry spices – roasted cumin powder, red chili powder and chaat masala powder. Also add salt as required. You can also use black salt.Stir and mix very well.Then add chopped coriander leaves and chopped mint leaves.Stir again and serve aloo raita with a veg pulao or any flavored indian rice dish like cumin rice or saffron rice or biryani rice. If not serving immediately, then refrigerate the potato raita and serve it chilled. Finish the raita on the same day.Garnish with coriander or mint sprigs while serving. You can also sprinkle some boondi or sev while serving the raita.",NutritionCalories: 78kcal | Carbohydrates: 9g | Protein: 4g | Fat: 2g | Saturated Fat: 1g | Cholesterol: 10mg | Sodium: 821mg | Potassium: 301mg | Fiber: 1g | Sugar: 3g | Vitamin A: 165IU | Vitamin C: 5.2mg | Calcium: 113mg | Iron: 1.6mg
8,Veg Raita | Mix Vegetable Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2013/09/vegetable-raita-recipe-1-280x280.jpg,"Veg Raita is a raita variation made with curd(yogurt), spices and an assortment of veggies. This Mix Veg Raita is healthy and perks up your everyday meals in the flavor and nutrition department.",15minutes,,15minutes,3,,Side Dish,Indian,Vegetarian,"▢ 1 cup Curd (yogurt or dahi) – dairy or plant based▢ 1 carrot (small to medium) – peeled and chopped finely or grated▢ 1 bell pepper (small-sized), capsicum or shimla mirch – red, orange, yellow or green – chopped finely▢ 1 cucumber (medium-sized) – peeled and chopped finely▢ 1 tomato (medium-sized) – finely chopped▢ 1 onion (small-sized), finely chopped▢ ¼ teaspoon black pepper powder▢ ½ teaspoon Roasted Cumin Powder▢ black salt or edible rock salt or regular salt, as required▢ 1 to 2 tablespoons  chopped coriander leaves – optional",Rinse the vegetables first. Peel and finely chop all the vegetables. Set aside.Whisk the yogurt (curd or dahi) till smooth.Add the ground spices and salt. Mix well.Add the finely chopped veggies and stir them into the yogurt.Check the taste and add more of the spice powders or salt if required.Serve the vegetable raita immediately. Garnish with some chopped coriander leaves if you like.,NutritionCalories: 97kcal | Carbohydrates: 14g | Protein: 5g | Fat: 3g | Saturated Fat: 2g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 1g | Cholesterol: 11mg | Sodium: 833mg | Potassium: 498mg | Fiber: 3g | Sugar: 9g | Vitamin A: 3841IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 42mg | Vitamin D: 1µg | Vitamin E: 1mg | Vitamin K: 15µg | Calcium: 138mg | Vitamin B9 (Folate): 37µg | Iron: 1mg | Magnesium: 35mg | Phosphorus: 130mg | Zinc: 1mg
9,Lauki ka Raita,https://www.vegrecipesofindia.com/wp-content/uploads/2015/04/lauki-raita-recipe-1-280x280.jpg,"Lauki ka Raita is a simple and refreshing savory side dish made with bottle gourd (lauki) and curd (yogurt). Light, cooling, and mildly spiced, this raita complements a variety of Indian meals. It pairs especially well with pulao, biryani, or even a basic dal-rice or roti-sabzi platter. Cooked lauki adds a soft texture, while curd brings a soothing tang. A perfect summer-friendly dish that’s both healthy and hydrating.",10minutes,15minutes,25minutes,3,,Side Dish,"North Indian, Punjabi","Gluten Free, Vegetarian","For Cooking Bottle Gourd▢ ¾ to 1 cup or (100 to 125 grams)  bottle gourd – grated, (calabash, opo squash, lauki, ghiya)▢ 1 to 1.25 cups water▢ ⅛ teaspoon salt","Cooking bottle gourdRinse and peel bottle gourd. Cut a small piece and check the taste. If bitter then trash the bottle gourd.If the bottle gourd has a pleasant, mild taste and is not bitter, then shred or grate it and set aside.You can use a food processor or a box grater. Aim for ¾ to 1 cup of grated bottle gourd.Now take the grated lauki and 1 to 1.25 cups water in a pan.Mix very well and keep the pan on stovetop. Add salt.Simmer on medium-low heat and cook this mixture uncovered for 10 to 12 minutes or until the grated bottle gourd softensStrainingOnce done, turn off the heat. Strain the cooked bottle gourd in a mesh sieve. Press with a spoon so that all the water is extracted from the cooked bottle gourd. You can also press the lauki in your palms when the cooked lauki becomes warm or cools down.For quick cooling, simply add the cooked lauki to a bowl of cold water. Then strain and squeeze the grated cooked gourd.Use the strained water to add to dal (lentils) or to any vegetable recipe.Making lauki ka raitaWhisk fresh chilled curd or yogurt until smooth.Add the cooked lauki and chopped green chilies.Add the roasted cumin powder, a pinch of garam masala powder and black salt or regular salt.Mix very well.Serve immediately or chill (refrigerate) and serve later in a couple of hours. You can garnish with coriander leaves while serving.Serving suggestionsRice recipes: Lauki raita tastes good with a pulao, veg biryani and with any flavored or spiced rice varieties. Lentils: It also pairs nicely with a side of dal tadka, masoor dal, moong dal or dal fry with some roti or steamed rice. Vegetables: You can even serve it as a dipping sauce with vegetable crudités and even with snacks like pakoda or aloo tikki. As a side dish it tastes great with any North Indian vegetable dish or curry. Paratha: You can serve any stuffed paratha with this raita.StorageRefrigerate the leftovers in a covered container only for a day. Lauki raita tastes best when freshly made and served.",NutritionCalories: 60kcal | Carbohydrates: 6g | Protein: 3g | Fat: 3g | Saturated Fat: 2g | Cholesterol: 11mg | Sodium: 339mg | Potassium: 178mg | Fiber: 1g | Sugar: 4g | Vitamin A: 81IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin B12: 1µg | Vitamin C: 1mg | Vitamin D: 1µg | Calcium: 112mg | Vitamin B9 (Folate): 6µg | Iron: 1mg | Magnesium: 25mg | Phosphorus: 83mg | Zinc: 1mg
