,name,image,description,prep_time,cook_time,total_time,servings_number,servings_unit,course,cuisine,diet,ingredients,instructions,nutrition
0,Sabudana Khichdi Recipe,https://www.vegrecipesofindia.com/wp-content/uploads/2023/02/sabudana-khichdi-3-280x280.jpg,"Sabudana Khichdi is a fasting savory dish made with soaked tapioca pearls (sabudana), mixed and cooked in a ghee sautéed mix of cumin seeds, green chillies, boiled potatoes, roasted crushed peanuts and edible rock salt (sendha namak). It is usually had during Hindu fasting days like Navratri, Ekadashi, Mahashivratri. It is also a gluten-free recipe.",20minutes,5minutes,25minutes,3,,Snacks,Maharashtrian,"Gluten Free, Vegetarian","▢ 1 cup (150 grams)  sabudana – sago or tapioca pearls▢ water as required, to soak sabudana▢ 2 potatoes – medium-sized ▢ ½ cup peanuts – roasted▢ 8 to 10 curry leaves – optional▢ 1 teaspoon grated ginger – optional▢ ½ to 1 teaspoon or 1 green chili – chopped▢ 1 teaspoon cumin seeds▢ ¼ cup coconut – grated, fresh – optional▢ ½ to 1 teaspoon sugar or as required▢ ½ to 1 teaspoon lemon juice (optional) or as required▢ 3 tablespoons peanut oil or ghee▢ rock salt – edible and food grade, (sendha namak) as required▢ 1 to 2 tablespoons coriander leaves – chopped, optional","PreparationRinse sabudana very well in water. Then soak sabudana overnight or for 3 to 5 hours.After the sabudana has soaked well enough, check if they have become soft or not.To do this take a few pearls and press them with your fingers. They should get mashed easily. If you feel some hardness in the center of the sabudana pearls, then add a few tablespoons of water in the bowl. Cover and leave to soak for 30 minutes more.Drain the soaked sabudana very well of all the water and set aside.Boil the potatoes and when warm peel and chop them.In a pan, dry roast the peanuts till browned and when cooled make a coarse powder in a mortar-pestle or in a dry grinder.Mix the coarsely powdered peanuts, salt and sugar with the drained sabudana.Making sabudana khichdiNow heat peanut oil or ghee. Fry the cumin first till they crackle and get browned on low to medium-low heat.Now add the curry leaves if using and green chillies. Fry for a few seconds and then add the grated ginger if using. Both curry leaves and ginger are optional and can be skipped. Saute for a couple of seconds till the raw aroma of the ginger goes away. Now add chopped boiled potatoes and saute for a minute.Add the sabudana. Keep on stirring often on a low heat for about 3 to 5 minutes. When the sabudana loses their opaqueness and starts becoming translucent they are cooked.Don’t overcook as they might become lumpy and hard.Turn off the heat and add lemon juice and chopped coriander leaves. Mix well.While serving garnish with a few coriander leaves and drizzle with some lemon juice. You can even add some grated fresh coconut on top. Serve Sabudana Khichdi hot or warm as is. Or you can serve with a side of sweetened curd or a satvik coconut chutney made with fasting ingredients.",NutritionCalories: 577kcal | Carbohydrates: 73g | Protein: 9g | Fat: 29g | Saturated Fat: 6g | Polyunsaturated Fat: 7g | Monounsaturated Fat: 13g | Sodium: 518mg | Potassium: 792mg | Fiber: 10g | Sugar: 4g | Vitamin A: 121IU | Vitamin B1 (Thiamine): 0.2mg | Vitamin B2 (Riboflavin): 0.1mg | Vitamin B3 (Niacin): 36mg | Vitamin B6: 1mg | Vitamin C: 86mg | Vitamin E: 3mg | Vitamin K: 3µg | Calcium: 50mg | Vitamin B9 (Folate): 362µg | Iron: 2mg | Magnesium: 82mg | Phosphorus: 181mg | Zinc: 1mg
1,Kaddu ki Sabji (Easy Pumpkin Recipe),https://www.vegrecipesofindia.com/wp-content/uploads/2011/09/kaddu-ki-sabzi-recipe-1a-1-280x280.jpg,"Kaddu ki Sabji is an easy and delicious vegan pumpkin recipe made with yellow pumpkin, spices and herbs. This is a North Indian style satvik recipe made without onions and garlic.",20minutes,15minutes,35minutes,4,,Main Course,Indian,"Vegan, Vegetarian","▢ 1 small pumpkin (kaddu)▢ ¼ teaspoon fenugreek seeds (methi seeds)▢ 1 teaspoon cumin seeds▢ 1 or 2 dry red chilies – optional, broken and seeds removed▢ ½ teaspoon Red Chili Powder▢ ½ teaspoon turmeric powder▢ ¼ teaspoon Garam Masala▢ 1 teaspoon dry mango powder (amchur)▢ 1 teaspoon sugar or 2 teaspoons crushed jaggery or add according to taste▢ 2 tablespoons oil▢ ¾ cup water or 1 cup water▢ 2 tablespoons coriander leaves – chopped, optional▢ rock salt – edible and food grade (or you can use regular salt if not making during religious fasting)","Wash the pumpkin. Peel and chop the pumpkin in small cubes.In a 2 litre stovetop pressure cooker or pan heat oil.Add the fenugreek seeds and cumin seeds and fry for a minute on a low heat.Now add the deseeded red chilies and fry for some 15 seconds. The addition of red chilies is optional or swap them with green chilies.Add the chopped pumpkin and all the dry spice powders except garam masala and dry mango powder.Add the sugar or jaggery.Mix the pumpkin with the rest of the spices and sugar/jaggery. Add water and salt.Cover the cooker with a lid and pressure cook for 7 to 8 minutes on medium heat.If you do not have a pressure cooker then cover the pan with a lid and cook the pumpkin for some 15-20 minutes till they become soft and mushy. You can also make this dish in the Instant pot adding water as required.Now mash the cooked and soft pumpkin with a spoon and add the garam masala and dry mango powder.Stir the mashed pumpkin well and cook for minute or two.If the sabzi still looks watery to you, then evaporate the water from the sabzi by cooking it without the lid. If it has become too thick or pasty, then add some hot water to thin the consistency a bit. This kaddu ki sabzi should not be dry nor watery or runny, just in between.Garnish with coriander leaves and serve kaddu ki sabzi hot with poori or roti.",NutritionCalories: 167kcal | Carbohydrates: 25g | Protein: 3g | Fat: 7g | Saturated Fat: 1g | Sodium: 593mg | Potassium: 1201mg | Fiber: 2g | Sugar: 11g | Vitamin A: 29125IU | Vitamin C: 46.8mg | Calcium: 76mg | Iron: 3.3mg
2,Sabudana Vada Recipe (For Fasting),https://www.vegrecipesofindia.com/wp-content/uploads/2021/05/sabudana-vada-3-280x280.jpg,"Sabudana Vada is a popular savory deep fried snack made during Hindu fasting days, featuring tapioca pearls (sago), potatoes, peanuts and herbs. They are naturally gluten-free and vegan. This fail-proof Maharashtrian style Sabudana Vada recipe gives you a super delicious crispy vada with a soft and light interior.",5hours,30minutes,5hours,18,Sabudana Vada,"Breakfast, Snacks",Maharashtrian,"Gluten Free, Vegan","▢ 1 cup sabudana (sago or tapioca pearls)▢ 4 potatoes – medium-sized▢ ½ cup peanuts▢ 1 teaspoon cumin seeds – optional▢ 1 to 2 green chillies – finely chopped or ½ to 1 teaspoon ▢ 1 teaspoon ginger – finely chopped▢ 2 teaspoons lemon juice (optional)▢ 2 tablespoons chopped coriander leaves –  optional▢ 1.5 teaspoon sugar or as required▢ 1 to 2 tablespoons buckwheat flour or amaranth flour – optional▢ rock salt (edible and food grade) or sendha namak▢ oil as required, for deep frying","Soaking SabudanaYou need to plan ahead and soak the sago pearls. It is very important to soak the sago really well.Important: Please refrain from using un-soaked or under-soaked sabudana to avoid scalding or burns as they will burst and shatter in oil when frying.First optionally, using a colander or mesh strainer rinse 1 cup sabudana lightly twice draining all the water.Soak the sabudana or sago in water for 5 hours at least or overnight. I soaked the sago pearls overnight and by morning they had become soft.When properly soaked, the sabudana pearls will be tender without any hard center. When you press the pearls between your forefinger and thumb, they should get mashed easily with a floury moist texture on your fingers.If you feel some hardness in the center, then soak for some more time. Drain all the water really well from the soaked sabudana.There should not be any water logged in the soaked pearls. Water will make the patties moist and sticky. The patties will soak up a good amount of oil while frying making them loaded with oil. So drain the water really well. You can opt to gently and lightly press the soaked pearls in the strainer with a spoon or spatula. Or set aside the pearls in a strainer (keeping a bowl beneath) for some 20 to 30 minutes dripping of any extra water.After draining the water thoroughly transfer the sabudana in a mixing bowl and set aside.Cooking PotatoesScrub and rinse 4 medium-sized potatoes thoroughly in water first. 1. Stove-top pressure cooker:  Place the potatoes in a 3 litre cooker. Add water which just about covers the potatoes. Pressure cook potatoes for 10 to 12 minutes or 4 to 5 whistles on medium heat.When the pressure settles down on its own in the cooker, open the lid and check the potatoes. Pass a knife or fork through the center of the potatoes and it should slide easily without any resistance.2. Cooking in a pan: Take water and add peeled and chopped potatoes. The water should cover the potatoes. Add a 2 to 3 pinches of salt if preferred.Cover and simmer potatoes until fork tender. Drain the water really well. When the potatoes are tender, using a strainer, drain all the water. 3. For Instant Pot cooking: Place a trivet in the inner steel of your Instant Pot. Add 1.5 cups water. Place the rinsed potatoes on the trivet. Seal with the lid and position the valve to sealing. Press the manual/pressure cook button and set the time to 10 or 12 minutes with high pressure option.After you hear the beep when the pressure cooking is complete, wait for 5 minutes and then do a quick pressure release. Remove the potatoes with tongs and place them in a plate or tray. Check the potatoes to see if they are cooked tender with a fork or knife.Let the potatoes become warm. Later peel and then chop them or mash them.Roasting PeanutsOn a skillet or in a shallow pan, roast the groundnuts/peanuts till they become crisp and crunchy.Cool and then coarsely powder in a mortar-pestle or in a dry grinder. You can even make a fine powder.Making Sago MixtureAdd the mashed potatoes and coarsely ground roasted groundnuts to the sabudana in the mixing bowl.Add edible rock salt, cumin seeds, sugar, ginger, green chillies, coriander leaves and lemon juice to the sabudana . Mix the entire mixture very well.Now take some portion of the mixture in your hands and shape them into flat round vada or patty. Set aside.Repeat until you use up the entire dough mixture.Making Sabudana VadaHeat oil for deep frying in a kadai. Add a tiny ball made from the mixture.Fry it on medium flame. If this ball does not break while frying, then you are good to go. If it breaks, then add 1 to 2 tablespoons of rajgira atta (or amaranth flour) to the mixture and mix well.Now gently place the vada in the oil. Keep the heat to medium or medium-high while frying. If the oil is warm, the vada will absorb a lot of oil and become soggy.Add the vada for frying depending on the size of the kadai. Do not crowd the kadai or pan.When one side gets golden, then only flip the vada. Otherwise, don't even touch as they might break if not cooked.Turn over a couple of times so as to fry the sabudana vada evenly. Fry until they are crisp and goldenRemove them with a slotted spoon. Place on kitchen paper towels to absorb excess oil. Fry the remaining batches of the patties this way.Serve Sabudana Vada hot or warm. Serving SuggestionsSabudana Vada can be made for fasting days or as an evening snack.It pairs well with coconut chutney, sweetened curd (just mix in some sugar), coriander chutney, tamarind chutney, or even tomato ketchup.Make Ahead OptionsFor prep ahead, boil and mash potatoes a day earlier, and roast and powder peanuts. Soaked sabudana can also be refrigerated after draining water.The patties can be shaped in advance and kept in the fridge. Any leftover mixture keeps well in the fridge for 1 to 2 days.",NutritionCalories: 107kcal | Carbohydrates: 17g | Protein: 2g | Fat: 4g | Saturated Fat: 0.5g | Polyunsaturated Fat: 0.5g | Monounsaturated Fat: 2g | Sodium: 88mg | Potassium: 233mg | Fiber: 2g | Sugar: 1g | Vitamin A: 5IU | Vitamin B1 (Thiamine): 0.05mg | Vitamin B2 (Riboflavin): 0.03mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 0.2mg | Vitamin C: 10mg | Vitamin E: 1mg | Vitamin K: 1µg | Calcium: 10mg | Vitamin B9 (Folate): 12µg | Iron: 1mg | Magnesium: 21mg | Phosphorus: 45mg | Zinc: 0.3mg
3,Lauki Halwa Recipe (Dudhi Halwa),https://www.vegrecipesofindia.com/wp-content/uploads/2011/11/lauki-halwa-dudhi-halwa-280x280.jpg,"Lauki Halwa is also called Dudhi Halwa. It is a rich Indian sweet made with bottle gourd (opo squash), milk, sugar and ghee. The method of making lauki halwa is similar to making gajar halwa. Making lauki halwa is easy but takes some time. This is a slow cooked halwa and what you get after minutes of slow cooking is super deliciousness.",10minutes,45minutes,1hour,4,,Desserts,Indian,"Gluten Free, Vegetarian","▢ 4 tablespoons Ghee (clarified butter)▢ 2 cups tightly packed grated lauki or 300 grams lauki (bottle gourd or opo squash or dudhi)▢ 2 cups whole milk – milk can be pasteurized or boiled before and can be used at room temperature or chilled▢ 7 to 8 tablespoons sugar or add as required▢ 5 to 6 green cardamoms – powdered or crushed or ½ to 1 teaspoon cardamom powder▢ 3 to 4 tablespoons chopped nuts  – almonds, cashews or pistachios▢ 1 tablespoons raisins – optional ","Grating Bottle GourdFirstly rinse, peel and grate the lauki. Before grating taste the lauki. If it tastes sour or bitter then discard and do not cook it. You will need 2 cups tightly packed grated lauki.Making lauki halwaHeat ghee in a heavy pan or kadai on medium-low to medium flame. Use a large kadai so that milk does not spill outside.Add the grated lauki. Mix grated lauki very well with the ghee.On a low to medium-low flame begin to saute the lauki. Stir often when sauteing lauki.Saute lauki till the moisture dries. Then add whole milk and mix very well.Continue to cook on a low to medium-low flame till the milk comes to a boil. In between do stir at times.The milk will start boiling. At this step be attentive and keep on stirring, so that the milk does not spill from the pan.Stirring often continue to cook till ¾ or 75% of the milk has reduced and absorbed.Add sugar and chopped nuts. Mix very well. You can even add 2 to 3 teaspoons of rose water or kewra water (pandanus water) if you want at this step. Stirring often cook till the halwa mixture starts coming together and thickens.The halwa will gradually thicken and you will see some ghee being released from the sides. There should not be any liquid in the dudhi halwa.Then switch off the heat and add golden raisins. Adding raisins is optional. Mix very well.Garnish with some chopped nuts and serve lauki halwa hot or warm. Refrigerate remaining halwa. It stays good for a couple of days in the refrigerator.",NutritionServing: 4g | Calories: 343kcal | Carbohydrates: 36g | Protein: 5g | Fat: 20g | Saturated Fat: 10g | Monounsaturated Fat: 3g | Cholesterol: 45mg | Sodium: 56mg | Potassium: 371mg | Fiber: 1g | Sugar: 29g | Vitamin A: 600IU | Vitamin C: 0.5mg | Calcium: 183mg | Iron: 1.4mg
4,Sabudana Kheer | How to make Sabudana Kheer,https://www.vegrecipesofindia.com/wp-content/uploads/2018/09/sabudana-kheer-recipe-1-280x280.jpg,"Sabudana Kheer is a sweet, creamy pudding made with tapioca pearls or sago pearls (called sabudana in Hindi), milk, sugar, nuts and flavored with cardamom & saffron. Sabudana Kheer is also a popular pick as fasting food during the Hindu Navratri festival. It is simple and easy to make, and tastes absolutely delicious.",15minutes,20minutes,35minutes,4,,Desserts,"Indian, North Indian","Gluten Free, Vegetarian","▢ ½ cup sabudana or sago (tapioca pearls) – for a thicker kheer, you can add ⅔ cup of sabudana▢ 2 cups water▢ 2 cups whole milk▢ 4 to 5 tablespoons sugar or raw sugar – add as required▢ ½  teaspoon green cardamom powder or 4 to 5 green cardamoms crushed in a mortar-pestle▢ 2 tablespoon cashews – chopped or preferred nuts▢ ½ tablespoon raisins▢ 3 to 4 strands of saffron – for garnish, optional","Soaking SabudanaRinse the sabudana pearls until the water runs clear of the starch.Take a thick bottomed pan or sauce pan in which you will be making the kheer.Add the rinsed sabudana pearls and water in the pan.Cover and let the pearls get soaked in the water for 15 to 20 minutes.Making sabudana kheerLater keep this pan on the stovetop and begin to cook the sabudana pearls.Meanwhile heat or warm the milk too. No need to boil the milk.After 4 to 5 minutes, add the milk to the pan and continue to cook.Add sugar and green cardamom powder and simmer till the sabudana have cooked well and softened – for about 20 to 25 minutes on a low to medium heat.The sabudana pearls should be soft and look translucent after they are cooked really well. They should not be hard or dense or chewy. This means that they need to be cooked for some more time.Keep on stirring often so that the kheer or the cooked sabudana does not stick to the bottom of the pan. Turn off the heat and add cashews and raisins. Do a taste test and add more sugar if the kheer has a less sweet taste.Easily adjust the consistency of the kheer by adding less or more milk. Keep in mind that the consistency thickens on cooling. Garnish with a few saffron strands while serving.Serve Sabudana Kheer hot or warm or chilled. ",NutritionCalories: 220kcal | Carbohydrates: 36g | Protein: 5g | Fat: 6g | Saturated Fat: 3g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 2g | Cholesterol: 15mg | Sodium: 80mg | Potassium: 249mg | Fiber: 2g | Sugar: 19g | Vitamin A: 202IU | Vitamin B1 (Thiamine): 0.1mg | Vitamin B2 (Riboflavin): 0.2mg | Vitamin B3 (Niacin): 0.2mg | Vitamin B6: 0.1mg | Vitamin B12: 1µg | Vitamin C: 1mg | Vitamin D: 1µg | Vitamin E: 0.1mg | Vitamin K: 2µg | Calcium: 160mg | Vitamin B9 (Folate): 2µg | Iron: 1mg | Magnesium: 34mg | Phosphorus: 157mg | Zinc: 1mg
5,Arbi Sabji | Arbi Recipe | Ghuiya Ki Sabji,https://www.vegrecipesofindia.com/wp-content/uploads/2012/02/sukhi-arbi-recipe-1-280x280.jpg,"Crispy, perfectly spiced and tasty Arbi Recipe made with Taro Roots (also called Arbi and Ghuiya in Hindi), a few spices and herbs. This Arbi Sabji is an easy way you can have a variation in your everyday meals.",30minutes,30minutes,1hour,2,,"Main Course, Side Dish, Starters","Indian, North Indian",Vegan,"▢ 250 grams colocasia roots (arbi or ghuiya or taro root)▢ water as needed to cook arbi▢ 1.5 teaspoon carom seeds (ajwain)▢ 1 teaspoon Coriander Powder▢ 1 teaspoon Red Chili Powder or cayenne pepper▢ 1 teaspoon dry mango powder (amchur)▢ oil for frying, as needed▢ 1 tablespoon chopped mint leaves or coriander leaves, for garnish▢ rock salt (edible and food grade) or sendha namak if making for religious fast (or regular salt for other days)","First rinse the taro roots thoroughly under running water to remove any soil or mud from them. Then opt to Pressure cook, steam or microwave the taro roots till they are almost cooked and tender. Remember not to overcook the tarot roots as they will become too mushy and pasty.To cook in a microwave oven, take some water in a microwave safe bowl just about covering the arbi. Microwave on high for 5 to 6 minutes or more until the taro roots are almost cooked. For pressure cooking, in a 2 litre pressure cooker, add the arbi with water covering them entirely. Pressure cook on medium heat for 1 whistle. Let the pressure drop naturally in the cooker and then only open the lid.Drain all the water and let the arbi cool or become warm. Peel of the skins from each taro root.Now if you want then lightly press the arbi between your palms to flatten them slightly.Shallow or deep fry the arbi in moderately hot oil oil till golden brown.In another pan, add little oil – about 1 to 2 teaspoonsAdd the carom seeds and fry for a minute.Now add both the spice powders, coriander and red chili powder.Mix well and add the fried arbi to this seasoning. Mix the arbi well.Add amchur powder and salt. Mix again well.Garnish Arbi Sabji with some chopped mint leaves or coriander leaves and serve hot.",NutritionCalories: 304kcal | Carbohydrates: 40g | Protein: 3g | Fat: 15g | Saturated Fat: 1g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 12g | Sodium: 323mg | Potassium: 830mg | Fiber: 7g | Sugar: 1g | Vitamin A: 501IU | Vitamin B1 (Thiamine): 0.1mg | Vitamin B2 (Riboflavin): 0.04mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 0.4mg | Vitamin C: 6mg | Vitamin E: 9mg | Vitamin K: 4µg | Calcium: 68mg | Vitamin B9 (Folate): 28µg | Iron: 1mg | Magnesium: 48mg | Phosphorus: 118mg | Zinc: 0.4mg
6,Sweet Potato Cutlet | Indian Sweet Potato Patties,https://www.vegrecipesofindia.com/wp-content/uploads/2012/10/sweet-potato-tikki-recipe-11-280x280.jpg,Sweet Potato Tikki is a delish snack that can be made during the period of Hindu fasting or vrat. These are basically sweet potato patties spiced with the usual Indian spices and herbs.,10minutes,20minutes,30minutes,7,Sweet Potato Tikki,Snacks,Indian,Vegan,"▢ 4 sweet potatoes (shakarkandi), medium-sized▢ 1 teaspoon ginger-green chili paste▢ 2 to 3 tablespoons arrowroot flour or buckwheat flour or water chestnut flour or amaranth flour▢ 1 teaspoon Chaat Masala▢ ½ teaspoon dried mango powder (amchur powder)▢ 1 teaspoon lemon juice▢ 1 teaspoon crushed roasted cumin or cumin powder▢ ½ teaspoon Red Chilli Powder or cayenne pepper▢ ¼ teaspoon Garam Masala▢ rock salt – edible and food grade, (sendha namak) or black salt as required▢ 2 to 3 tablespoons oil for frying or add as required","Rinse the sweet potatoes thoroughly in water.Roast them in the oven till they are soft and cooked.You can also boil them in a pan with water and salt.Or else pressure cook with enough water and salt till they become soft. To pressure cook place the sweet potatoes in a 3 litre pressure cooker. Add water as needed covering the sweet potatoes. Pressure cook for 3 to 4 whistles on medium heat. When the pressure drops naturally in the cooker, then only open the lid.Drain the water, let them cool and peel.With a potato masher, mash the sweet potatoes well.Add all the ingredients except oil. Mix well.Shape into medium sized cutlet, tikkis or patties.Pan fry the patties with oil till both the sides are well browned.Garnish with some coriander leaves.Serve Sweet Potato Cutlet with a chutney.",NutritionCalories: 163kcal | Carbohydrates: 30g | Protein: 2g | Fat: 4g | Saturated Fat: 1g | Polyunsaturated Fat: 1g | Monounsaturated Fat: 3g | Sodium: 406mg | Potassium: 444mg | Fiber: 4g | Sugar: 6g | Vitamin A: 18368IU | Vitamin B1 (Thiamine): 1mg | Vitamin B2 (Riboflavin): 1mg | Vitamin B3 (Niacin): 1mg | Vitamin B6: 1mg | Vitamin C: 3mg | Vitamin E: 2mg | Vitamin K: 3µg | Calcium: 43mg | Vitamin B9 (Folate): 15µg | Iron: 1mg | Magnesium: 34mg | Phosphorus: 63mg | Zinc: 1mg
7,Easy Aloo ki Sabji | Satvik Aloo Tamatar Ki Sabji,https://www.vegrecipesofindia.com/wp-content/uploads/2013/10/aloo-tamatar-sabzi-recipe-1-280x280.jpg,"Aloo ki Sabji or Aloo Tamatar Ki Sabji is an easy to make lightly spiced gravy featuring potatoes, tomatoes, a few spices and herbs. A satvik recipe made without onion and garlic.",20minutes,10minutes,30minutes,3,,Main Course,North Indian,"Vegan, Vegetarian","▢ 2 potatoes – medium-sized or 1 extra large potato▢ 4 tomatoes – medium-sized, about 2 cups finely chopped tomatoes▢ 1 teaspoon cumin seeds▢ ¼ teaspoon Red Chili Powder or cayenne pepper▢ ¼ teaspoon black pepper powder▢ 1 cup water▢ 1 tablespoon oil or 1 tablespoon ghee▢ 1 to 2 tablespoons coriander leaves – chopped, for garnish▢ rock salt  – edible and food grade (sendha namak), add as required. or use regular salt or pink salt","Boiling potatoesTake 1.25 to 1.5 cups water in a 2 litre pressure cooker or pressure pan. Add 2 potatoes and the salt. Boil the potatoes on medium heat for 2 to 3 whistles.Let the pressure drop naturally in the cooker, then only open the lid. The potatoes should be just cooked. They should not become crumbly or mushy.Remove the potatoes and set aside on a plate to cool.Let the potatoes become warm or cool down slightly. Then peel the and dice them.Making aloo ki sabjiHeat the oil or ghee in a pan.Add cumin seeds and let them crackle on low heat.Then add finely chopped tomatoes.Sauté till they become soft and mushy, stirring often on medium-low to medium heat.You will see the oil leaving the sides once the tomatoes have cooked completely.Next add red chili powder, black pepper and salt as required. Mix well.Add the chopped potatoes and stir to mix again.Add 1 cup water.Stir to mix well. Let the gravy cook for 7 to 8 minutes or more on a low heat, till it thickens slightly.Mash a few potato pieces with a spoon to help in thickening of the gravy.Garnish with chopped coriander leaves.Serve the Aloo ki Sabji hot or warm with your preferred breads like roti, paratha or poori.",NutritionCalories: 184kcal | Carbohydrates: 32g | Protein: 4g | Fat: 5g | Saturated Fat: 1g | Polyunsaturated Fat: 0.4g | Monounsaturated Fat: 4g | Sodium: 412mg | Potassium: 1005mg | Fiber: 5g | Sugar: 5g | Vitamin A: 1437IU | Vitamin B1 (Thiamine): 0.2mg | Vitamin B2 (Riboflavin): 0.1mg | Vitamin B3 (Niacin): 3mg | Vitamin B6: 1mg | Vitamin C: 51mg | Vitamin E: 3mg | Vitamin K: 17µg | Calcium: 44mg | Vitamin B9 (Folate): 48µg | Iron: 2mg | Magnesium: 55mg | Phosphorus: 124mg | Zinc: 1mg
8,Roasted Makhana Recipe,https://www.vegrecipesofindia.com/wp-content/uploads/2013/04/roasted-makhana-recipe-1-280x280.jpg,Roasted Makhana is a healthy snack that is made with slow roasting/toasting phool makhana or foxnuts with spices and seasonings.,,10minutes,10minutes,2,,Snacks,Indian,"Gluten Free, Vegan, Vegetarian","▢ 3 cup foxnuts (makhana or phool makhana)▢ ¼ teaspoon turmeric powder▢ ½ teaspoon Red Chili Powder  or cayenne pepper, add as required▢ 1 teaspoon Chaat Masala Powder or add as required▢ rock salt  (edible and food grade), add as required▢ 2 to 3 teaspoons oil or ghee","Making roasted makhana recipeHeat oil in a heavy wok or kadai.Add the makhana and roast for a good 10 to 12 minutes on low heat, till they become crisp. Keep on stirring in between.Next, add all the spice powders and rock salt, except chaat masala.Turn off the heat as you don't want the spice powders to get burnt.Stir the whole mixture well.Lastly, sprinkle the chaat masala powder and again mix well.Serve Roasted Makhana when they become lukewarm or cool at room temperature.Remember that once they cool down, store in an air-tight container.",
9,Sama Chawal Idli | Vrat Ki Idli | Vari Rice Idli,https://www.vegrecipesofindia.com/wp-content/uploads/2013/10/sama-ke-chawal-idli-recipe-1-280x280.jpg,"Sama Chawal Idli or Vrat Ki Idli is a unique variation to the South Indian Idli. These are made without the regular rice and lentils, but with Sama also known as Barnyard Millet in English. Thus, a perfect choice of dish for your vrats or fasts and even on regular days. A vegan, gluten free and quite a nutritious recipe.",9hours,10minutes,9hours,9,Barnyard Millet Idli,Breakfast,Indian,"Gluten Free, Vegan","▢ 1 cup sama ke chawal (barnyard millet)▢ ½ cup sabudana (tapioca pearls)▢ 2 pinches baking soda▢ rock salt (edible and food grade) as required▢ water – as required, for soaking","Soaking Barnyard Millet & SagoTake both the sama ke chawal and sabudana in a bowl.Rinse then well and soak in enough water for 3 hours.Press a few sabudana pearls and they should get mashed easily. If the center feels hard, they need to be soaked for more time. So add water if required and soak for a few more hours, until the sabudana has softened well.Making BatterDrain all the water very well. Then grind the sama chawal and sabudana in a wet grinder or mixer-grinder.No need to add any water as the sago grains absorb enough water to help with the grinding. But if you are unable to grind in your grinder then just add 2 to 3 teaspoons of water.The consistency of the batter can be a bit granular or slightly coarse.Take the batter in a bowl and allow to ferment for 8 to 9 hours or overnight,Before preparing, add salt to the batter and mix well.Steaming Heat water in a steamer or an electric cooker. Add water as needed in the steamer or electric cooker or instant pot.Add the baking soda to the batter and stir well.Pour the batter in greased idli moulds.Place in the steamer or electric cooker.Steam the idli for 8 to 10 minutes or until they are cooked well.Serve sama ke idli hot or warm with your favorite coconut chutney",NutritionCalories: 108kcal | Carbohydrates: 24g | Protein: 2g | Fat: 1g | Sodium: 203mg | Potassium: 0.03mg | Fiber: 1g | Vitamin B1 (Thiamine): 0.1mg | Vitamin B2 (Riboflavin): 0.03mg | Vitamin B3 (Niacin): 1mg | Vitamin C: 0.3mg | Calcium: 5mg | Iron: 1mg | Magnesium: 22mg | Phosphorus: 74mg | Zinc: 1mg
